feature,importance
yearsExperience,0.06967113651578902
milesFromMetropolis,0.06818281674230416
yearsExperience,0.05707881528743742
industry_HEALTH,0.053233318416631696
jobType_JANITOR,0.05040809040923345
milesFromMetropolis,0.04810278098503658
industry_FINANCE,0.04325346285591897
major_NONE,0.04003456318218898
industry_OIL,0.03933160200506004
jobType_CEO,0.03893096211702515
jobType_CTO,0.038876623625685565
industry_EDUCATION,0.03860830377247002
jobType_CFO,0.036879644623107485
jobType_JUNIOR,0.03513875664580075
industry_WEB,0.032224851216627194
degree_DOCTORAL,0.032090079773113185
major_LITERATURE,0.02754962526343419
degree_NONE,0.027263675326559246
jobType_SENIOR,0.026544027511626926
industry_SERVICE,0.025586284919302472
major_BUSINESS,0.0241563878236298
major_ENGINEERING,0.022564527165074448
degree_MASTERS,0.01969347423815288
industry_AUTO,0.017762636538310252
jobType_MANAGER,0.01705876775974445
major_BIOLOGY,0.01318763803332546
jobType_VICE_PRESIDENT,0.012737547194575212
major_CHEMISTRY,0.011063657553813368
major_MATH,0.010663284556941885
degree_HIGH_SCHOOL,0.005493251180720787
major_PHYSICS,0.005347600430511108
degree_BACHELORS,0.004962490607705729
major_COMPSCI,0.0029066839900699017
companyId_COMP1,0.0002177289935879073
companyId_COMP46,0.00021625166941247108
companyId_COMP34,0.00020336479404377102
companyId_COMP10,0.0001856605025776984
companyId_COMP21,0.0001838049996254439
companyId_COMP9,0.0001766592310717539
companyId_COMP26,0.00014325479778033558
companyId_COMP20,0.00011366964208231876
companyId_COMP38,0.00011302882722499883
companyId_COMP30,0.0001129677093781431
companyId_COMP17,9.555677912343918e-05
companyId_COMP44,9.5088029189249e-05
companyId_COMP42,9.037996119105486e-05
companyId_COMP13,8.921637703906653e-05
companyId_COMP55,8.279620628830698e-05
companyId_COMP15,8.018545508185445e-05
companyId_COMP47,7.834088902130271e-05
companyId_COMP28,7.778189164224081e-05
companyId_COMP48,7.601480469578502e-05
companyId_COMP2,7.031705279334906e-05
companyId_COMP56,6.732246634013163e-05
companyId_COMP33,5.760215657714149e-05
companyId_COMP12,5.75973054803448e-05
companyId_COMP22,5.5809835042802e-05
companyId_COMP6,5.521584366392263e-05
companyId_COMP35,5.299152812805898e-05
companyId_COMP53,4.679851848033362e-05
companyId_COMP27,4.125018375246657e-05
companyId_COMP36,3.966474662033934e-05
companyId_COMP32,3.84200953934339e-05
companyId_COMP54,3.66072046373327e-05
companyId_COMP60,3.629934349289422e-05
companyId_COMP24,3.607908560289623e-05
companyId_COMP39,3.4718552662400356e-05
companyId_COMP59,3.367566087064278e-05
companyId_COMP52,3.114770325514262e-05
companyId_COMP8,2.9062374105754036e-05
companyId_COMP5,2.8373961459934164e-05
companyId_COMP11,2.2470881237342203e-05
companyId_COMP16,2.025286701040234e-05
companyId_COMP51,1.913232615318443e-05
companyId_COMP58,1.5794441801055763e-05
companyId_COMP19,1.4332696707091913e-05
companyId_COMP49,1.1931516025855967e-05
companyId_COMP61,1.1165496476125559e-05
companyId_COMP62,9.9604218789488e-06
companyId_COMP14,6.8859073658101344e-06
companyId_COMP29,0.0
companyId_COMP18,0.0
companyId_COMP23,0.0
companyId_COMP0,0.0
companyId_COMP25,0.0
companyId_COMP4,0.0
companyId_COMP3,0.0
companyId_COMP31,0.0
companyId_COMP37,0.0
companyId_COMP40,0.0
companyId_COMP41,0.0
companyId_COMP43,0.0
companyId_COMP45,0.0
companyId_COMP57,0.0
companyId_COMP7,0.0
companyId_COMP50,0.0
